dim_d,lambda_2,mean_bias,semantic_sim
64,0.5,0.6104497953372843,0.956786671982092
128,0.5,0.6042365716660724,0.9624243185800665
256,0.5,0.612897730048965,0.9624850837623372
384,0.5,0.6771447233417455,0.9579782792750526
512,1.2,0.3823970674591906,0.8454920772243949
768,1.0,2.011295404212005e-07,0.8803006305414087
