model,dim_d,alignment_error,C_d,var_full,var_d
baseline,8,0.21917358326753794,0.19283809630703636,2.509324760770888,0.4838934098831675
baseline,16,0.2811763880467833,0.19133368094962694,2.509324760770888,0.480118343176336
baseline,32,0.31269528584453316,0.21422765958429532,2.509324760770888,0.5375667706368691
baseline,64,0.2941767183074674,0.2744135822597889,2.509324760770888,0.6885927966563271
baseline,128,0.2923945804763713,0.4374350750932607,2.509324760770888,1.0976666651611917
baseline,300,0.0,1.0,2.509324760770888,2.509324760770888
mrl,8,0.24525006543271327,0.19412347376945638,2.536317167737591,0.4923586991823301
mrl,16,0.2868145318343489,0.1871692896039851,2.536317167737591,0.4747206824958364
mrl,32,0.3030621868348593,0.20568861848820247,2.536317167737591,0.5216915742798556
mrl,64,0.30108152194516447,0.27626917519575056,2.536317167737591,0.7007062519656864
mrl,128,0.28676829964445394,0.43148106097612743,2.536317167737591,1.0943728225073823
mrl,300,0.0,1.0,2.536317167737591,2.536317167737591
