Prefix_Dim,Non-MRL_MAC_Before,Non-MRL_MAC_After,MRL_MAC_Before,MRL_MAC_After,Non-MRL_STS_Before,Non-MRL_STS_After,MRL_STS_Before,MRL_STS_After
64,0.089668654,0.006438756,0.044256076,0.0024784552,0.8395939495195072,0.7587143243085968,0.8572368512470856,0.7688078886908645
128,0.06402866,0.029805882,0.035005074,0.0073570227,0.8606663679763986,0.7566435666517867,0.8678199850128302,0.7601550199287072
256,0.047632772,0.011759741,0.04218412,0.003413003,0.8726802392566233,0.7740542706362862,0.8751157124676185,0.7640097212014407
384,0.047174755,0.0045529525,0.034494866,0.0062887883,0.8746165840092857,0.7002212287817448,0.8762166171419553,0.6253457523983382
512,0.04041802,0.0007522239,0.029967202,0.0007544213,0.8752467392484329,0.45466967093810917,0.8766161405493433,0.3874103865731244
768,0.03788735,8.761353e-05,0.027337499,2.4802155e-05,0.8773118954778898,0.4146112669232499,0.8782799317331305,0.3449102896276956
