dim_d,lambda_2,mean_bias,semantic_sim,combined
64,0.0,3.3619891860905815,1.0000000061357723,-2.361989179954809
64,0.2,3.052770057145287,0.9987072138225331,-2.054062843322754
64,0.5,2.6423516361152424,0.9912643362494076,-1.6510872998658348
64,0.8,2.340085778166266,0.9762372374534607,-1.3638485407128051
64,1.0,2.238346962367787,0.9618134919334861,-1.276533470434301
64,2.0,3.0354743634953216,0.85139098675812,-2.1840833767372017
64,5.0,8.46816607433207,0.5402545023757471,-7.927911571956322
128,0.0,3.804039900793749,1.0000000157777,-2.804039885016049
128,0.2,3.353449332363465,0.9985503641998067,-2.3548989681636585
128,0.5,2.7502859392586876,0.9901603583027335,-1.760125580955954
128,0.8,2.306541514747283,0.973143574946067,-1.3333979398012161
128,1.0,2.1786155034514034,0.956793808761765,-1.2218216946896385
128,2.0,3.66577803737977,0.8329672532923081,-2.832810784087462
128,5.0,11.641095771509057,0.4909237918430282,-11.150171979666029
256,0.0,4.144578761914197,1.0000000122715444,-3.144578749642652
256,0.2,3.4953080818933597,0.9983956813812256,-2.496912400512134
256,0.5,2.6249545409398922,0.9890879988670349,-1.6358665420728573
256,0.8,1.9921058696859024,0.970214885823867,-1.0218909838620354
256,1.0,1.8762244047487484,0.9521471761605319,-0.9240772285882165
256,2.0,4.6327398489503295,0.8183409089551252,-3.814398939995204
256,5.0,15.921448202694163,0.46779940981308327,-15.453648792881081
512,0.0,5.171574199900908,1.0000000350615557,-4.1715741648393525
512,0.2,4.167990379473743,0.998388342997607,-3.1696020364761357
512,0.5,2.716090965796919,0.988984936300446,-1.7271060294964733
512,0.8,1.4693113223594778,0.9697951095945695,-0.4995162127649083
512,1.0,1.0923870284767712,0.9513594999032862,-0.141027528573485
512,2.0,5.507232157623067,0.8154843366321396,-4.691747820990927
512,5.0,21.02154247901019,0.46312353620990454,-20.558418942800284
768,0.0,6.390929004725288,1.0,-5.390929004725288
768,0.2,5.1127431673162125,0.9983421371263617,-4.114401030189851
768,0.5,3.1954644813257107,0.9886346810004291,-2.2068298003252815
768,0.8,1.2781857138170916,0.9687550032840055,-0.309430710533086
768,1.0,4.647018126119667e-07,0.9496243271757575,0.9496238624739449
768,2.0,6.3909289836883545,0.8089382512604489,-5.581990732427905
768,5.0,25.563716046950397,0.4475606187102933,-25.116155428240102
