dim_d,lambda_2,mean_bias,semantic_sim
64,1.0,2.238346962367787,0.9618134919334861
128,1.0,2.1786155034514034,0.956793808761765
256,1.0,1.8762244047487484,0.9521471761605319
512,1.0,1.0923870284767712,0.9513594999032862
768,1.0,4.647018126119667e-07,0.9496243271757575
