model,dim_d,C_d,weat_d
baseline,64,0.0877035834344819,
baseline,128,0.17737459574089917,
baseline,256,0.34268561099993927,
baseline,512,0.6825105658930686,
baseline,768,1.0,
mrl,64,0.13996992426656552,
mrl,128,0.21825524979359553,
mrl,256,0.365655401620883,
mrl,512,0.6713482025022811,
mrl,768,1.0,
