model,dim_d,C_d,weat_d
baseline,64,0.0846650532648731,
baseline,128,0.16465371356042002,
baseline,256,0.28738463882521553,
baseline,384,0.49728615232383566,
baseline,512,0.695042150266464,
baseline,768,1.0,
mrl,64,0.15784066512963307,
mrl,128,0.2414579392262481,
mrl,256,0.3764890274817962,
mrl,384,0.5578775668310499,
mrl,512,0.718602709543471,
mrl,768,1.0,
