dim_d,Non-MRL (Residual),MRL (Residual)
64,0.10692164710010676,0.15426431700368137
128,0.10822575895444435,0.1388864529264324
256,0.0990968727890183,0.15217371290440068
384,0.1428021714091301,0.18772219784338684
512,0.3593784876386909,0.1909984309116707
768,0.356949644491953,0.1971553699387347
