model,dim_d,C_d,weat_d
baseline,64,0.16987347191943664,
baseline,128,0.2573282535627022,
baseline,256,0.40280309840714024,
baseline,384,0.5805002775389337,
baseline,512,0.6877380520361013,
baseline,768,1.0,
mrl,64,0.11016565173095134,
mrl,128,0.1834973991517666,
mrl,256,0.32277404802520143,
mrl,384,0.4502500508334238,
mrl,512,0.75733824470218,
mrl,768,1.0,
