dim_d,Non-MRL (Residual),MRL (Residual)
64,0.18940811242689104,0.3214440483819036
128,0.2334607907516115,0.2282275412889088
256,0.27527003110769915,0.2072962238727247
384,0.3525654069860192,0.2531615177388577
512,0.4316557412419249,0.43327509239315987
768,0.47025045412866506,0.6360168483327416
