dim_d,lambda_2,mean_bias,semantic_sim,combined
64,0.0,0.5604977690998245,1.0000000087653889,0.43950223966556434
64,0.5,0.423428643056575,0.9832972805289661,0.5598686374723911
64,0.8,0.3679548350765425,0.9525778293609619,0.5846229942844194
64,1.0,0.35149850915460024,0.9222830095711876,0.5707845004165873
64,1.2,0.35610511723686666,0.8850840610616347,0.5289789438247681
64,1.5,0.397378375644193,0.8205698583932484,0.4231914827490554
64,2.0,0.5192284770309925,0.7066347304019419,0.1874062533709494
128,0.0,0.6113371489679112,0.99999999211115,0.38866284314323873
128,0.5,0.4093140784431906,0.9826844825464136,0.573370404103223
128,0.8,0.32720256881678805,0.9512825441711089,0.6240799753543209
128,1.0,0.30968308667926225,0.9206627922899583,0.610979705610696
128,1.2,0.3322601741289391,0.8833537522484275,0.5510935781194883
128,1.5,0.41836324816240983,0.8189991589854745,0.40063591082306466
128,2.0,0.623393607490203,0.7055619673474747,0.08216835985727167
256,0.0,0.735904839108972,1.0000000140246224,0.2640951749156504
256,0.5,0.4382091328939971,0.9802010830710916,0.5419919501770945
256,0.8,0.32150299934779897,0.9442668373093885,0.6227638379615896
256,1.0,0.3125092051923275,0.9093406524728326,0.5968314472805051
256,1.2,0.37727998569607735,0.8671078664415023,0.48982788074542494
256,1.5,0.5424115342252395,0.7953484430909157,0.2529369088656762
256,2.0,0.8722198789610582,0.672077221206992,-0.20014265775406626
384,0.0,0.8732183794764912,1.000000009641928,0.12678163016543675
384,0.5,0.4998715695212869,0.979626815108692,0.47975524558740507
384,0.8,0.3491942571366535,0.942532033604734,0.5933377764680805
384,1.0,0.33726058440173373,0.9065205822972691,0.5692599978955353
384,1.2,0.41790953651070595,0.863123406382168,0.44521386987146205
384,1.5,0.6218409634688321,0.7897917807978743,0.16795081732904216
384,2.0,1.0250690693364424,0.664716756573933,-0.36035231276250934
512,0.0,1.101133480668068,1.0000000061357723,-0.1011334745322956
512,0.5,0.5939084028496462,0.9816294286180945,0.38772102576844836
512,0.8,0.31388505898854313,0.9479462118709788,0.6340611528824357
512,1.0,0.192532110521022,0.9147751620587181,0.7222430515376961
512,1.2,0.2619873081498286,0.8740693672614939,0.6120820591116652
512,1.5,0.5273332933292669,0.8034618663437226,0.2761285730144557
512,2.0,1.030969113111496,0.678621098453946,-0.35234801465754995
768,0.0,1.2461819035165451,1.0000000201603945,-0.24618188335615065
768,0.5,0.6230909543878892,0.9813188244314754,0.35822787004358625
768,0.8,0.24923636139753988,0.9473297254127615,0.6980933640152216
768,1.0,8.116545302527811e-08,0.9140742464977152,0.9140741653322622
768,1.2,0.24923643929993405,0.8734593803391737,0.6242229410392397
768,1.5,0.623090951320003,0.8033003399477285,0.1802093886277255
768,2.0,1.246181904393084,0.6795955515083145,-0.5665863528847694
