dim_d,lambda_2,mean_bias,semantic_sim
64,0.8,0.3679549036657109,0.9525778144598007
128,0.8,0.3272026871495387,0.9512825389118755
256,0.8,0.32150300592184067,0.9442668276674607
384,0.8,0.3491942431120312,0.9425320002962562
512,1.0,0.1925320151974173,0.914775088429451
768,1.0,8.177489106779323e-08,0.9140741719919092
