dim_d,lambda_2,mean_bias,semantic_sim,combined
64,0.0,0.49389593609992194,0.9999999929876888,0.5061040568877668
64,0.5,0.39375508642371965,0.9764187686583575,0.5826636822346378
64,0.8,0.36710287258028984,0.9346673006520552,0.5675644280717653
64,1.0,0.3682626238202347,0.8951440173036912,0.5268813934834564
64,1.2,0.3843504904824145,0.8482675977489528,0.4639171072665383
64,1.5,0.43177856263868947,0.7698450193685644,0.33806645672987495
64,2.0,0.5507135305772809,0.636636061443235,0.08592253086595414
128,0.0,0.6350543148377362,1.0000000245430891,0.3649457097053529
128,0.5,0.45617926953470006,0.978271344128777,0.5220920745940769
128,0.8,0.3953104203238207,0.9391138588680941,0.5438034385442734
128,1.0,0.3885732168222175,0.9013970275135601,0.5128238106913425
128,1.2,0.4108365614186315,0.8560085261569303,0.44517196473829884
128,1.5,0.4876428338534692,0.7789173735415235,0.2912745396880543
128,2.0,0.6785712820642135,0.6460796866346808,-0.032491595429532616
256,0.0,0.7969944516525549,1.0000000184073168,0.2030055667547619
256,0.5,0.49270760005011277,0.9765710024272695,0.4838634023771567
256,0.8,0.37767214547185335,0.9337660749168957,0.5560939294450423
256,1.0,0.36875462795005126,0.8921961985966739,0.5234415706466227
256,1.2,0.42375506000483737,0.8421074143227409,0.4183523543179036
256,1.5,0.5797248487086857,0.7575654707410756,0.17784062203238993
256,2.0,0.9102291456040215,0.614442852572264,-0.2957862930317574
384,0.0,0.947549366775681,1.0000000070123112,0.05245064023663015
384,0.5,0.5306284957948852,0.976244626676335,0.4456161308814498
384,0.8,0.3487391717293683,0.9319564498522702,0.5832172781229019
384,1.0,0.3220083798994036,0.8884523274267421,0.5664439475273384
384,1.2,0.402086565599722,0.835867121377412,0.43378055577769004
384,1.5,0.6207629551782328,0.7475026306860587,0.12673967550782594
384,2.0,1.0546702444553375,0.6001211438766297,-0.4545491005787078
512,0.0,1.1321675900150747,1.0000000324319391,-0.1321675575831356
512,0.5,0.5947192447150454,0.978623001891024,0.3839037571759786
512,0.8,0.30196989985073314,0.9389422947869581,0.6369723949362249
512,1.0,0.19356632254579487,0.8997970775646322,0.7062307550188374
512,1.2,0.3006426177042372,0.8520081122131908,0.5513654945089537
512,1.5,0.592048173003337,0.7702331201118582,0.17818494710852117
512,2.0,1.1284063905477524,0.6296890529201311,-0.49871733762762127
768,0.0,1.3369276532355476,1.0000000043826944,-0.3369276488528532
768,0.5,0.6684638266177738,0.9786777706707225,0.31021394405294866
768,0.8,0.26738550820771384,0.9391215382253423,0.6717360300176285
768,1.0,7.719664912537596e-08,0.9001005028977114,0.9001004257010623
768,1.2,0.2673855945467949,0.8524495117804584,0.5850639172336635
768,1.5,0.668463825741235,0.7708680537693641,0.1024042280281291
768,2.0,1.336927649729392,0.6305464376448927,-0.7063812120844993
