dim_d,lambda_2,mean_bias,semantic_sim
64,0.5,0.39375506801640286,0.9764187905718299
128,0.8,0.39531033288906603,0.9391139281146667
256,0.8,0.37767235102022395,0.9337661739657906
384,0.8,0.34873919999774766,0.9319565787034876
512,1.0,0.19356649182736874,0.8997972747858833
768,1.0,7.795573692453004e-08,0.9001007071312737
